ID,Name,Description,ColumnSpec,category,type,unit,source_comment,changes,comment,Contribution_ID
CARNEIRO_582,Voyages undertaken out of sight of land,Voyages undertaken out of sight of land,,Watercraft and Navigation,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_583,Canals built for navigation,Canals built for navigation,,Watercraft and Navigation,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_584,"Mnemonic devices for recording traditions, events, etc.","Traditions, events, etc., recorded by means of mnemonic devices (including writing, but excluding simple methods of recording elapsed time, events, or simple inventories)",,Special Knowledge and Practices,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_585,System of writing,System of writing (including extensive systems of standardized pictographs),,Special Knowledge and Practices,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_586,Essentially phonetic system of writing,Essentially phonetic system of writing,,Special Knowledge and Practices,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_587,"Scribes, secretaries, or clerks","Scribes, secretaries, or clerks (other than priests)",,Special Knowledge and Practices,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_588,Teachers,"Teachers: professional instructors, secular or religious, who are paid for their services and who instruct others than candidates for the priesthood",,Special Knowledge and Practices,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_589,Schools for secular subjects or vocational training,"Schools for instruction in secular (i.e., nonreligious) subjects or for vocational training (including, e.g., school for brides)",,Special Knowledge and Practices,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_590,Literacy general among the upper classes,Literacy general among the upper classes (not merely among scribes and priests),,Special Knowledge and Practices,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_591,Public primary schools,Public primary schools,,Special Knowledge and Practices,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_592,Secular professional schools,"Secular professional schools (e.g., for the study of law, accounting, medicine, grammar)",,Special Knowledge and Practices,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_593,Literature,"Literature: speculative, esthetic, or historical writing as distinct from official records",,Special Knowledge and Practices,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_594,Epic verse,Epic verse (excluding songs),,Special Knowledge and Practices,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_595,Philosophy,Philosophy: a system of beliefs about mans place in the world and about human conduct based on independent speculation and representing a departure from the prevailing or previously established system of beliefs,,Special Knowledge and Practices,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_596,Technical treatises or manuals,"Technical treatises or manuals (e.g., on medicine, pharmacy, divination, agriculture, metalworking)",,Special Knowledge and Practices,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_597,Standardized weights and measures,"Standardized weights and measures (excluding measurement with parts of the body, and similarly variable measurements)",,Special Knowledge and Practices,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_598,System of numbers extending beyond 100,System of numbers extending beyond 100,,Special Knowledge and Practices,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_599,Mathematics,Mathematics (beyond simple arithmetic),,Special Knowledge and Practices,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_600,Techniques of surveying and mensuration,"Techniques of surveying and mensuration (including, e.g., plumb lines, knowledge of right angle, stretched cords, but excluding the swinging of circles by means of a cord)",,Special Knowledge and Practices,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_601,Regular astronomical observations by specialists,Astronomical observations regularly made by priests or other specialists,,Special Knowledge and Practices,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_602,Calendrical system,"Calendrical system, uniquely designating each day of the year",,Special Knowledge and Practices,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_603,Calendrically fixed celebrations or religious observances,Calendrically fixed days of celebration or religious observance recurring annually,,Special Knowledge and Practices,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_604,Regular schedule of work and rest beyond daily routine,"Regular schedule of work and rest other than daily routine (e.g., one day off every five)",,Special Knowledge and Practices,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_605,Musical instruments,Musical instruments (excluding whistles),,Special Knowledge and Practices,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_606,Games of calculation,Games of calculation,,Special Knowledge and Practices,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_607,Team athletic contests,Team athletic contests in which there is coordination among the members of each side,,Special Knowledge and Practices,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_608,Professional athletes,"Professional athletes (e.g., gladiators, ballplayers, acrobats)",,Special Knowledge and Practices,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_609,"Professional bards, musicians, or storytellers","Bards, minstrels, musicians, or storytellers, whose primary activity is to compose, play, or recite songs, poems, or stories",,Special Knowledge and Practices,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_610,Professional dancers or musicians,Professional dancers or musicians,,Special Knowledge and Practices,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_611,Professional comic entertainers,"Professional comic entertainers (e.g,, clowns, buffoons, jesters, dwarfs)",,Special Knowledge and Practices,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_612,Troupes of professional actors,Troupes of professional actors,,Special Knowledge and Practices,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_613,Fermented beverages from cultivated plants,Fermented beverages brewed from cultivated plants,,Special Knowledge and Practices,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_614,"Midwives, wet nurses, or foster nurses","Midwives, wet nurses, or foster nurses who are regularly called upon and paid for their services",,Special Knowledge and Practices,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_615,Physicians,"Physicians: specialists who treat patients primarily by rational (i.e., non-supernaturalistic) means",,Special Knowledge and Practices,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_616,Surgery practiced,"Surgery practiced (excluding, e.g., the setting of broken bones, removal of arrows, bloodletting)",,Special Knowledge and Practices,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_617,Papermaking,"Papermaking (including the making of papyrus, parchment, or vellum)",,Special Knowledge and Practices,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_618,Zoos,Zoos or menageries in which a wide variety of wild animals are kept as curiosities,,Special Knowledge and Practices,Categorical,,,,,dplace-dataset-carneiro
CCMC1,NHS2 song,"A Value for this parameter represents a song in the NHS discography, coded for type using one of 10 categories.",,,,,,,,dplace-dataset-ccmc
EA001,Subsistence economy: gathering,"Dependence on the gathering of wild plants and small land fauna, relative to other subsistence activities.",,"Economy, Subsistence",Ordinal,,Murdock (1962-1971); Gray (1999),,,dplace-dataset-ea
EA002,Subsistence economy: hunting,"Dependence on hunting, including trapping and fowling, relative to other subsistence activities.",,"Economy, Subsistence",Ordinal,,Murdock (1962-1971); Gray (1999),,,dplace-dataset-ea
EA003,Subsistence economy: fishing,"Dependence on fishing, including shellfishing and the pursuit of large aquatic animals, relative to other subsistence activities.",,"Economy, Subsistence",Ordinal,,Murdock (1962-1971); Gray (1999),,,dplace-dataset-ea
EA004,Subsistence economy: animal husbandry,"Dependence on animal husbandry, relative to other subsistence activities.",,"Economy, Subsistence",Ordinal,,Murdock (1962-1971); Gray (1999),,,dplace-dataset-ea
EA005,Subsistence economy: agriculture,"Dependence on agriculture, relative to other subsistence activities.",,"Economy, Subsistence",Ordinal,,Murdock (1962-1971); Gray (1999),,,dplace-dataset-ea
EA006,Transactions at marriage: prevailing type,Prevailing type of transfer or exchange at marriage.,,"Economy, Kinship, Marriage, Wealth Transactions",Categorical,,Murdock (1962-1971); Gray (1999),,,dplace-dataset-ea
EA007,Transactions at marriage: alternate type,"Alternative types of transfer or exchange at marriage, or supplementary practices.",,"Economy, Kinship, Marriage, Wealth Transactions",Categorical,,Murdock (1962-1971); Gray (1999),,,dplace-dataset-ea
EA008,Domestic organization,The prevailing form of domestic or familial organization.,,"Kinship, Marriage",Categorical,,Murdock (1962-1971); Gray (1999),,,dplace-dataset-ea
EA009,Marital composition: monogamy and polygamy,"Marital composition of family units, regardless of whether families live as independent nuclear units or as part of larger extended families.",,"Kinship, Marriage",Categorical,,Murdock (1962-1971); Gray (1999),,,dplace-dataset-ea
EA010,Marital residence with kin: first years,"Pattern of marital residence in the first years or so of marriage. The variable ""Marital residence with kin: change after first years"" indicates whether or not this differs from the pattern of marital residence in later years.",,"Kinship, Marriage",Categorical,,Murdock (1962-1971); Gray (1999),"Recoded to be a ""stand alone"" variable. Now, societies for which code was ""not different than later years"" have this information spelled out, using detailed codes of Gray's v12, which describes the pattern of marital residence in later years. Note also that two codes were added for ""Uv"" and ""Vu"" based on Murdock's note under the Ambilocal code. Specifically: ""The symbols Uv or Vu are used to denote, respectively, a marked preponderance of uxorilocal or virilocal practice [in ambilocal residence]. That is, cases of ambilocal residence where the actual frequency of uxorilocal vs. virilocal residence exceeds the other by a ratio greater than two to one. ","Codes for ""first years"" in Murdock do not include options for Matrilocal/Patrilocal; it is not clear if these are contained in Uxorilocal/Virilocal. In the case of the ""Marital residence (prevailing pattern)"" variable Matrilocal/Patrilocal are distinguished by Uxorilocal/Virilocal (with the latter being ""confined to instances where the wife's [husband's] matrikin [patrikin] are not aggregated in matrilocal and matrilineal [patrilocal and matrilineal] kin groups"". If comparing with v10 with v12, users may wish to look into this further and/or group Matri/Uxori and Patri/Viri in v12. ",dplace-dataset-ea
EA201,Marital residence with kin: change after first years,Indicates whether or not the pattern of marital residence differs in the first years of marriage relative to later years.,,"Kinship, Marriage",Categorical,,Murdock (1962-1971); Gray (1999),"Added because of the recoding of v10, to allow users to quickly identify societies where marital residence in early years differs from that in later years.",,dplace-dataset-ea
EA011,Transfer of residence at marriage: prevailing pattern,"The prevailing pattern of transfer of residence at marriage (note: not in original EA, summarized from variable describing marital residence with kin).",,"Kinship, Marriage",Categorical,,Gray (1999),"Revised codes for avunculocal cases, as these should be ""Wife to husband's group""; changed wording of this code (code ""1"") to emphasize that this group could be husband's group (patrilocal, virilocal) or husband's mother's brother's household (avunculocal). ","Note that in cases where men marry a MoBrDa, 'avunculocal' residence would mean the husband was moving to the wife's household.",dplace-dataset-ea
EA012,Marital residence with kin: prevailing pattern,The prevailing profile of marital residence in the society.,,"Kinship, Marriage",Categorical,,Murdock (1962-1971); Gray (1999),"Two codes added for ""Uv"" and ""Vu"" based on Murdock's note under the Ambilocal code. Specifically: ""The symbols Uv or Vu are used to denote, respectively, a marked preponderance of uxorilocal or virilocal practice [in ambilocal residence]"". He further specifies that these are cases of ambilocal residence where the actual frequency of uxorilocal vs. virilocal residence exceeds the other by a ratio greater than two to one. Given this specific definition, we decided these two cases should be ""stand alone"" codes under v12, rather than cases where a prevailing pattern (v12) is accompanied by an alternative pattern (v14).",,dplace-dataset-ea
EA013,Transfer of residence at marriage: alternate,"Culturally patterned alternatives to, or numerically significant deviations from, the prevailing pattern of transfer of residence at marriage (note: not in original EA, summarized from variable describing marital residence with kin).",,"Kinship, Marriage",Categorical,,Gray (1999),"Revised codes for avunculocal cases here and for variable EA011, as these should be ""Wife to husband's group""; changed wording of this code (code ""1"") to emphasize that this group could be husband's group (patrilocal, virilocal) or husband's mother's brother's household (avunculocal). Because codes for this variable are dependent on EA011, adjusted all codes for this variable after adjusting EA011 and this variable for avunculocal cases.","Note that in cases where men marry a MoBrDa, 'avunculocal' residence would mean the husband was moving to the wife's household.",dplace-dataset-ea
EA014,Marital residence with kin: alternate,"Culturally patterned alternatives to, or numerically significant deviations from, the prevailing profile of marital residence.",,"Kinship, Marriage",Categorical,,Murdock (1962-1971); Gray (1999),"No change, despite change to v12, for wich ""Uv"" and ""Vu"" now coded as specific cases. In other words, "".v"" following U and "".u"" following V are still coded as 'alternative states' to v12. ",,dplace-dataset-ea
EA015,Community marriage organization,"The prevalence of local endogamy, agamy, and exogamy, together with the presence or absence of localized kin groups. The specific structure of clans, whether ambilocal, matrilocal, or patrilocal, is revealed by the variable describing prevailing patterns of residence with kin.",,"Community organization, Kinship, Marriage",Categorical,,Murdock (1962-1971); Gray (1999),,,dplace-dataset-ea
EA016,Organization of clan communities,"Indicates whether or not societies organized as clan-communities (i.e., where communities represent a single, localized, exogamous kin group or clan) are also segmented into clan barrios.",,"Community organization, Kinship, Marriage",Categorical,,Murdock (1962-1971); Gray (1999),,,dplace-dataset-ea
EA017,Largest patrilineal kin group,The largest type of patrilineal kin group reported for the society.,,Kinship,Categorical,,Murdock (1962-1971); Gray (1999),,,dplace-dataset-ea
EA018,Largest patrilineal exogamous group,The largest patrilineal kin group characterized by exogamy.,,Kinship,Categorical,,Murdock (1962-1971); Gray (1999),"Recoded to be a ""stand alone"" variable. Any societies coded as ""9"" (""No different from variable 17"") in Gray (1999) are now represented by their codes in v17. Also, ""O,"" ""Lo,"" ""Po,"" and ""So"" are here coded as ""1"" (""No patrilineal exogamy""). In Gray (1999), O, Lo, So, Po were coded as ""9"" (""No different from variable 17""). ",,dplace-dataset-ea
EA019,Largest matrilineal kin group,The largest type of matrilineal kin group reported for the society.,,Kinship,Categorical,,Murdock (1962-1971); Gray (1999),,,dplace-dataset-ea
EA020,Largest matrilineal exogamous group,The largest matrilineal kin group characterized by exogamy.,,Kinship,Categorical,,Murdock (1962-1971); Gray (1999),"Recoded to be a ""stand alone"" variable. Any societies coded as ""9"" (""No different from variable 19"") in Gray (1999) are now represented by their codes in v19. Also, ""O,"" ""Lo,"" ""Po,"" and ""So"" are here coded as ""1"" (""No matrilineal exogamy""). In Gray (1999), O, Lo, So, Po were coded as ""9"" (""No different from variable 17""). ",,dplace-dataset-ea
EA021,Cognatic kin groups,"The presence or probable absence, and the typology, of cognatic kin groups.",,Kinship,Categorical,,Murdock (1962-1971); Gray (1999),,,dplace-dataset-ea
EA022,Secondary cognatic kin group: kindreds and ramages,"The presence or probable absence, and the typology, of secondary cognatic kin groups. This variable highlights societies for which both kindreds (bilateral descent) and ramages (ambilineal descent) are reported.",,Kinship,Categorical,,Murdock (1962-1971); Gray (1999),,,dplace-dataset-ea
EA023,Cousin marriages permitted,"The rules or practices governing the marriageability or nonmarriageability of a man's first cousins and, in some cases, second cousins.",,"Kinship, Marriage",Categorical,,Murdock (1962-1971); Gray (1999),,,dplace-dataset-ea
EA024,Cousin marriages permitted: subtypes,Number of types of cousins (first and/or second cousins) a man is permitted to marry.,,"Kinship, Marriage",Categorical,,Murdock (1962-1971); Gray (1999),"Used code that was corrected by Gray after publication of Gray (1999). Specifically, Murdock codes ""C-G"" = Gray code ""3"" and only Murdock codes ""M"" and ""P"" = Gray code ""4""",,dplace-dataset-ea
EA025,Cousin marriages preferred,Preferred rather than just permitted marriages to particular first (and/or second) cousins.,,"Kinship, Marriage",Categorical,,Murdock (1962-1971); Gray (1999),,,dplace-dataset-ea
EA026,Cousin marriages preferred: subtypes,Specific type(s) of cousin preferred as spouses.,,"Kinship, Marriage",Categorical,,Murdock (1962-1971); Gray (1999),,,dplace-dataset-ea
EA027,Kin terms for cousins,Extent to which names for cousins distinguish cousin subtypes and/or among other groups of kin.,,Kinship,Categorical,,Murdock (1962-1971); Gray (1999),,,dplace-dataset-ea
EA028,Agriculture: intensity,Intensity of cultivation.,,"Economy, Subsistence",Categorical,,Murdock (1962-1971); Gray (1999),,,dplace-dataset-ea
EA029,Agriculture: major crop type,Principal type of crop cultivated.,,"Ecology, Subsistence",Categorical,,Murdock (1962-1971); Gray (1999),"Societies coded as ""C"" but without a lower-case letter following are here coded as ""0"" (i.e., as having Missing data for ""Principal crop"").",,dplace-dataset-ea
EA030,Settlement patterns,The prevailing type of settlement pattern.,,"Community organization, Housing, Settlement",Categorical,,Murdock (1962-1971); Gray (1999),,,dplace-dataset-ea
EA031,Mean size of local communities,"The average population of local communities, whatever the pattern of settlement, computed from census data or other evidence.",,"Community organization, Population, Settlement",Ordinal,,Murdock (1962-1971); Gray (1999),,,dplace-dataset-ea
EA032,Jurisdictional hierarchy of local community,"The number of jurisdictional levels in the local community, with 2 representing the theoretical minimum (e.g., independent nuclear or polygynous families) and 4 representing the theoretical maximum (e.g., nuclear families nested within extended families and clan-barrios). See the variable ""Jurisdictional hierarchy beyond the local community"" for information on organization beyond the local community. Note that different types of organization on the same level, e.g., a consanguineal lineage and its localized equivalent, are counted as one, and organizations not held to be legitimate, e.g., imposed colonial regimes, are excluded.",,Community organization,Ordinal,,Gray (1999),,,dplace-dataset-ea
EA033,Jurisdictional hierarchy beyond local community,"The number of jurisdictional levels beyond the local community, with 1 representing the theoretical minimum (e.g.,  none/autonomous bands or villages) and 4 representing the theoretical maximum (e.g., villages nested within parishes, districts, provinces, and a complex state). This variable also provides a measure of political complexity, ranging from 1 for stateless societies, through 2 or 3 for petty and larger paramount chiefdoms or their equivalent, to 4 or 5 for large states. Note that different types of organization on the same level are counted as one, and organizations not held to be legitimate, e.g., imposed colonial regimes, are excluded.",,"Community organization, Politics",Ordinal,,Gray (1999),,,dplace-dataset-ea
EA034,Religion: high gods,"The range of beliefs in high gods. A high god is defined, following Swanson, as a spiritual being who is believed to have created all reality and/or to be its ultimate governor, even if his sole act was to create other spirits who, in turn, created or control the natural world.",,Ritual,Categorical,,Murdock (1962-1971); Gray (1999),,,dplace-dataset-ea
EA035,Games,"Types of games practiced. Following Roberts, only games with an outcome, i.e., a winner and a loser, are treated.",,Games,Categorical,,Murdock (1962-1971); Gray (1999),,,dplace-dataset-ea
EA036,Post-partum sex taboos,"The normal duration of post-partum sex taboos, i.e., those requiring a lactating mother to refrain from sexual intercourse.",,"Gender, Marriage, Ritual",Ordinal,,Murdock (1962-1971); Gray (1999),,,dplace-dataset-ea
EA037,Male genital mutilations,"The practice of circumcision or any of its variants, when culturally normative and not sporadic or merely optional, as well as the age at which it typically occurs.",,"Gender, Ritual",Categorical,,Murdock (1962-1971); Gray (1999),,,dplace-dataset-ea
EA038,Segregation of adolescent boys,Degree and mode of segregating boys at or approaching puberty.,,"Gender, Marriage, Ritual",Categorical,,Murdock (1962-1971); Gray (1999),,,dplace-dataset-ea
EA039,Domestic animals: plow cultivation,"Indicates whether or not animals are employed in plow cultivation, and whether plow cultivation is aboriginal or dates to the post-contact period.",,"Economy, Subsistence",Categorical,,Murdock (1962-1971); Gray (1999),,,dplace-dataset-ea
EA040,Domestic animals: type,The predominant type of animals kept.,,"Ecology, Subsistence",Categorical,,Murdock (1962-1971); Gray (1999),,,dplace-dataset-ea
EA041,Domestic animals: milking,Indicates whether or not domestic animals milked.,,"Economy, Subsistence",Categorical,,Murdock (1962-1971); Gray (1999),,,dplace-dataset-ea
EA042,Subsistence economy: dominant activity,Dominant mode of subsistence (note: not in original EA; derived from other variables on subsistence and type of agriculture).,,"Economy, Subsistence",Categorical,,Gray (1999),,,dplace-dataset-ea
EA043,Descent: major type,"Major mode of descent (note: not in original EA; derived from variables describing patrilineal and matrilineal kin groups EA017, EA019 and EA021).",,Kinship,Categorical,,Gray (1999),,,dplace-dataset-ea
EA044,Sex differences: metal working,"Specialization by sex in such arts as smelting, casting, and forging, i.e., only those which involve the application of fire.",,"Economy, Gender, Labour",Categorical,,Murdock (1962-1971); Gray (1999),,,dplace-dataset-ea
EA045,Sex differences: weaving,"Specialization by sex in the manufacture of true cloth on a loom or frame; not including the manufacture of nets, baskets, mats, or nonwoven fabrics like barkcloth or felt.",,"Economy, Gender, Labour",Categorical,,Murdock (1962-1971); Gray (1999),,,dplace-dataset-ea
EA046,Sex differences: leather working,"Specialization by sex in the dressing of skins, e.g., by tanning; not including the manufacture of artifacts from raw hides or undressed skins.",,"Economy, Gender, Labour",Categorical,,Murdock (1962-1971); Gray (1999),,,dplace-dataset-ea
EA047,Sex differences: pottery making,Specialization by sex in the manufacture of earthenware utensils.,,"Economy, Gender, Labour",Categorical,,Murdock (1962-1971); Gray (1999),,,dplace-dataset-ea
EA048,Sex differences: boat building,"Specialization by sex in the construction of true water craft; not including the making of simple floats, rafts, or the like.",,"Economy, Gender, Labour",Categorical,,Murdock (1962-1971); Gray (1999),,,dplace-dataset-ea
EA049,Sex differences: house construction,Specialization by sex in the actual building of a permanent dwelling or the erection of a transportable shelter; not including the acquisition or preliminary preparation of the materials used.,,"Economy, Gender, Labour",Categorical,,Murdock (1962-1971); Gray (1999),,,dplace-dataset-ea
EA050,Sex differences: gathering,Specialization by sex in the gathering of wild plants and small land fauna.,,"Economy, Gender, Labour",Categorical,,Murdock (1962-1971); Gray (1999),,,dplace-dataset-ea
EA051,Sex differences: hunting,"Specialization by sex in hunting, including trapping and fowling.",,"Economy, Gender, Labour",Categorical,,Murdock (1962-1971); Gray (1999),,,dplace-dataset-ea
EA052,Sex Differences: fishing,"Specialization by sex in fishing, including shellfishing and the pursuit of large aquatic animals.",,"Economy, Gender, Labour",Categorical,,Murdock (1962-1971); Gray (1999),,,dplace-dataset-ea
EA053,Sex differences: animal husbandry,Specialization by sex in animal husbandry.,,"Economy, Gender, Labour",Categorical,,Murdock (1962-1971); Gray (1999),,,dplace-dataset-ea
EA054,Sex differences: agriculture,Specialization by sex in agriculture.,,"Economy, Gender, Labour",Categorical,,Murdock (1962-1971); Gray (1999),,,dplace-dataset-ea
EA055,Age or occupational specialization: metal working,"Age or occupational specialization in such arts as smelting, casting, and forging, i.e., only those which involve the application of fire.",,"Economy, Labour",Categorical,,Murdock (1962-1971); Gray (1999),Recoded to distinguish cases where activity is not practiced from cases where there is no specialization by sex.,,dplace-dataset-ea
EA056,Age or occupational specialization: weaving,"Age or occupational specialization in the manufacture of true cloth on a loom or frame; not including the manufacture of nets, baskets, mats, or nonwoven fabrics like barkcloth or felt.",,"Economy, Labour",Categorical,,Murdock (1962-1971); Gray (1999),Recoded to distinguish cases where activity is not practiced from cases where there is no specialization by sex.,,dplace-dataset-ea
EA057,Age or occupational specialization: leather working,"Age or occupational specialization in the dressing of skins, e.g., by tanning; not including the manufacture of artifacts from raw hides or undressed skins.",,"Economy, Labour",Categorical,,Murdock (1962-1971); Gray (1999),Recoded to distinguish cases where activity is not practiced from cases where there is no specialization by sex.,,dplace-dataset-ea
EA058,Age or occupational specialization: pottery making,Age or occupational specialization in the manufacture of earthenware utensils.,,"Economy, Labour",Categorical,,Murdock (1962-1971); Gray (1999),Recoded to distinguish cases where activity is not practiced from cases where there is no specialization by sex.,,dplace-dataset-ea
EA059,Age or occupational specialization: boat building,"Age or occupational specialization in the construction of true water craft; not including the making of simple floats, rafts, or the like.",,"Economy, Labour",Categorical,,Murdock (1962-1971); Gray (1999),Recoded to distinguish cases where activity is not practiced from cases where there is no specialization by sex.,,dplace-dataset-ea
EA060,Age or occupational specialization: house construction,Age or occupational specialization in the actual building of a permanent dwelling or the erection of a transportable shelter; not including the acquisition or preliminary preparation of the materials used.,,"Economy, Labour",Categorical,,Murdock (1962-1971); Gray (1999),Recoded to distinguish cases where activity is not practiced from cases where there is no specialization by sex.,,dplace-dataset-ea
EA061,Age or occupational specialization: gathering,Age or occupational specialization in the gathering of wild plants and small land fauna.,,"Economy, Labour",Categorical,,Murdock (1962-1971); Gray (1999),Recoded to distinguish cases where activity is not practiced from cases where there is no specialization by sex.,,dplace-dataset-ea
EA062,Age or occupational specialization: hunting,"Age or occupational specialization in hunting, including trapping and fowling.",,"Economy, Labour",Categorical,,Murdock (1962-1971); Gray (1999),Recoded to distinguish cases where activity is not practiced from cases where there is no specialization by sex.,,dplace-dataset-ea
EA063,Age or occupational specialization: fishing,"Age or occupational specialization in fishing, including shellfishing and the pursuit of large aquatic animals.",,"Economy, Labour",Categorical,,Murdock (1962-1971); Gray (1999),Recoded to distinguish cases where activity is not practiced from cases where there is no specialization by sex.,,dplace-dataset-ea
EA064,Age or occupational specialization: animal husbandry,Age or occupational specialization in animal husbandry.,,"Economy, Labour",Categorical,,Murdock (1962-1971); Gray (1999),Recoded to distinguish cases where activity is not practiced from cases where there is no specialization by sex.,,dplace-dataset-ea
EA065,Age or occupational specialization: agriculture,Age or occupational specialization in agriculture.,,"Economy, Labour",Categorical,,Murdock (1962-1971); Gray (1999),Recoded to distinguish cases where activity is not practiced from cases where there is no specialization by sex.,,dplace-dataset-ea
EA066,Class differentiation: primary,"The degree and type of class differentiation, excluding purely political and religious statuses. See also ""Class differentiation: secondary,"" as some societies exhibit important features of two different types of class differentation.",,"Class, Economy, Politics",Categorical,,Murdock (1962-1971); Gray (1999),,,dplace-dataset-ea
EA067,Class differentiation: secondary features,"Secondary type of class differentiation present in the society, excluding purely political and religious statuses. See also ""Class differentiation: primary"".",,"Class, Economy, Politics",Categorical,,Murdock (1962-1971); Gray (1999),,,dplace-dataset-ea
EA068,Caste differentiation: primary,"The degree and type of caste differentiation. See also ""Caste differentiation: secondary,"" as some societies exhibit important features of two different types of caste differentation.",,"Class, Economy, Politics",Categorical,,Murdock (1962-1971); Gray (1999),,,dplace-dataset-ea
EA069,Caste differentiation: secondary features,"Secondary type of caste differentiation. See also ""Caste differentiation: primary"".",,"Class, Economy, Politics",Categorical,,Murdock (1962-1971); Gray (1999),,,dplace-dataset-ea
EA070,Slavery: type,"The forms and prevalence of slave status, treated quite independently of both class and caste status.",,"Class, Economy, Labour, Politics",Categorical,,Murdock (1962-1971); Gray (1999),,,dplace-dataset-ea
EA071,Slavery: timing,"Indicates whether slavery present at the time of observation of the society, or only in the past.",,"Class, Economy, Labour, Politics",Categorical,,Murdock (1962-1971); Gray (1999),"Recoded to be a ""standalone"" variable; specifically, to distinguish ""Slavery never practiced"" (1) from ""Slavery present in past, but not currently in existence"" (3)",,dplace-dataset-ea
EA072,Political succession,"Rules of succession applying to the office of local headman (or a close equivalent), without reference to rules of succession prevailing on higher levels of political integration.",,"Leadership, Politics",Categorical,,Murdock (1962-1971); Gray (1999),Note: recoded from Murdock and split into two variables by Gray (1999),,dplace-dataset-ea
EA073,Political succession: hereditary succession,"Rules of succession applying to the office of local headman (or a close equivalent), without reference to rules of succession prevailing on higher levels of political integration.",,"Kinship, Leadership, Politics",Categorical,,Murdock (1962-1971); Gray (1999),,,dplace-dataset-ea
EA074,Inheritance rule for real property (land),"The rule or practice governing the disposition or transmission of a man's property in land (exclusive of any dower right of his widow). [Note that Murdock (1963a) warned that the codes for this variable had ""proved inadequate and in serious need of revision,"" and that the coded data ""should consequently be used only with circumspection""].",,"Economy, Property, Wealth Transactions",Categorical,,Murdock (1962-1971); Gray (1999),,,dplace-dataset-ea
EA075,Inheritance distribution for real property (land),"Following the inheritance rule for real property (land), this variable indicates how real property is distributed among several individuals of the same category. [Note that Murdock (1963a) warned that the codes for this variable had ""proved inadequate and in serious need of revision,"" and that the coded data ""should consequently be used only with circumspection""].",,"Economy, Property, Wealth Transactions",Categorical,,Murdock (1962-1971); Gray (1999),,,dplace-dataset-ea
EA076,Inheritance rule for movable property,"The rule or practice governing the disposition or transmission of a man's movable property (exclusive of any dower right of his widow). [Note that Murdock (1963a) warned that the codes for this variable had ""proved inadequate and in serious need of revision,"" and that the coded data ""should consequently be used only with circumspection""].",,"Economy, Property, Wealth Transactions",Categorical,,Murdock (1962-1971); Gray (1999),,,dplace-dataset-ea
EA077,Inheritance distribution for movable property,"Following the inheritance rule for movable property, this variable indicates how movable property is distributed among several individuals of the same category. [Note that Murdock (1963a) warned that the codes for this variable had ""proved inadequate and in serious need of revision,"" and that the coded data ""should consequently be used only with circumspection""].",,"Economy, Property, Wealth Transactions",Categorical,,Murdock (1962-1971); Gray (1999),"Recoded to distinguish cases where no inheritance of movable property (""9"") from cases where no data provided on distribution rules (Missing data).",,dplace-dataset-ea
EA078,Norms of premarital sexual behavior of girls,Prevailing standards of sex behavior for unmarried women.,,"Gender, Marriage, Ritual",Categorical,,Murdock (1962-1971); Gray (1999),,,dplace-dataset-ea
EA079,House construction: ground plan,Ground plan of the prevailing type of dwelling.,,"Community organization, Housing",Categorical,,Murdock (1962-1971); Gray (1999),,,dplace-dataset-ea
